event_time_utc,event_type,trade_id,symbol,source,timeframe,session,raw_direction,final_direction,candle_time,entry_price,sl_price,tp1_price,tp2_price,notional_usd,leverage,margin_usd,adx_value,lot,exit_reason,exit_price,pnl,balance_after
2026-09-09T15:31:13.921200+00:00,lot_close,174,BTCUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-09 09:45:00,,,,,,3.0,50.0,,lot_b,sl,78196.14472337817,-1.4361,1057.0589
2026-09-09T15:31:14.502466+00:00,full_close,174,BTCUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-09 09:45:00,,,,,,,,,,,,,1057.0589
2026-09-09T15:31:18.728213+00:00,lot_close,175,DOGEUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-09 09:45:00,,,,,,3.0,50.0,,lot_a,sl,0.08871661362461587,-2.3195,1054.7395
2026-09-09T15:31:19.322907+00:00,lot_close,175,DOGEUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-09 09:45:00,,,,,,3.0,50.0,,lot_b,sl,0.08871661362461587,-2.3195,1052.42
2026-09-09T15:31:19.850709+00:00,full_close,175,DOGEUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-09 09:45:00,,,,,,,,,,,,,1052.42
2026-09-09T15:31:21.241934+00:00,lot_close,173,CRVUSDT,Supertrend+ADX,15m,آسیا,short,long,2026-09-09 03:00:00,,,,,,3.0,50.0,,lot_a,sl,0.35454356611852456,-2.5193,1049.9007
2026-09-09T15:31:21.859736+00:00,lot_close,173,CRVUSDT,Supertrend+ADX,15m,آسیا,short,long,2026-09-09 03:00:00,,,,,,3.0,50.0,,lot_b,sl,0.35454356611852456,-2.5193,1047.3814
2026-09-09T15:31:22.366455+00:00,full_close,173,CRVUSDT,Supertrend+ADX,15m,آسیا,short,long,2026-09-09 03:00:00,,,,,,,,,,,,,1047.3814
2026-09-09T15:31:23.875319+00:00,open,176,CRVUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-09 15:15:00,0.3569,0.34683942897336734,0.371990856539949,0.38708171307989797,300.0,3.0,100.0,22.067,,,,,1047.3814
2026-09-09T15:31:28.243236+00:00,lot_close,172,VETUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-08 20:15:00,,,,,,3.0,50.0,,lot_a,tp1,0.007545162938916367,9.5988,1056.9801
2026-09-09T15:31:28.860621+00:00,sl_to_be,172,VETUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-08 20:15:00,,0.008061,,,,,,,,,,,
2026-09-09T15:31:30.983139+00:00,lot_close,170,MANAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 15:15:00,,,,,,3.0,50.0,,lot_a,tp1,0.0742449436086225,4.0401,1061.0202
2026-09-09T15:31:31.526350+00:00,sl_to_be,170,MANAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 15:15:00,,0.0763,,,,,,,,,,,
2026-09-09T15:31:32.949653+00:00,lot_close,171,GALAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 15:15:00,,,,,,3.0,50.0,,lot_a,tp1,0.0018222113030543284,8.3774,1069.3976
2026-09-09T15:31:33.536317+00:00,sl_to_be,171,GALAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 15:15:00,,0.00193,,,,,,,,,,,
2026-09-09T21:31:13.953168+00:00,lot_close,169,BNBUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-08 13:30:00,,,,,,3.0,50.0,,lot_a,sl,729.3921981608146,-2.9273,1066.4702
2026-09-09T21:31:14.329174+00:00,lot_close,169,BNBUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-08 13:30:00,,,,,,3.0,50.0,,lot_b,sl,729.3921981608146,-2.9273,1063.5429
2026-09-09T21:31:14.690929+00:00,full_close,169,BNBUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-08 13:30:00,,,,,,,,,,,,,1063.5429
2026-09-09T22:16:10.549675+00:00,lot_close,162,SOLUSDT,Supertrend+ADX,15m,آسیا,long,short,2026-09-07 02:30:00,,,,,,3.0,50.0,,lot_b,tp2,101.66742775123492,7.1953,1070.7382
2026-09-09T22:16:10.971865+00:00,full_close,162,SOLUSDT,Supertrend+ADX,15m,آسیا,long,short,2026-09-07 02:30:00,,,,,,,,,,,,,1070.7382
2026-09-09T22:16:15.297692+00:00,lot_close,157,ROSEUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 16:45:00,,,,,,3.0,50.0,,lot_a,tp1,0.006776610703594999,13.3748,1084.113
2026-09-09T22:16:15.735865+00:00,sl_to_be,157,ROSEUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 16:45:00,,0.00744,,,,,,,,,,,
2026-09-09T22:16:20.865465+00:00,lot_close,170,MANAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 15:15:00,,,,,,3.0,50.0,,lot_b,tp2,0.07218988721724497,8.0802,1092.1932
2026-09-09T22:16:21.289432+00:00,full_close,170,MANAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 15:15:00,,,,,,,,,,,,,1092.1932
